Actual DA Concentration,Predicted DA Concentration,Actual AA Concentration,Predicted AA Concentration
0,12.609970563070306,1750,168.9282781645846
200,90.96112712539221,200,36.23009202203921
75,83.31658190827544,0,-2.2434150796014123
30,31.964356308617624,30,16.585797230361962
10,2.3327069840587455,0,11.224596406358707
30,41.257768764321256,300,41.96027348049099
50,32.00109163787691,100,22.327281978324695
50,54.64090550376891,0,-0.9209990554616425
100,103.26387542887741,100,25.565762175968175
20,19.917238629793626,0,5.348097721112985
